year,month,total_sales
2010,2,190332983.04
2010,3,181919802.50
2010,4,231412368.05
2010,5,186710934.34
2010,6,192246172.36
2010,7,232580125.98
2010,8,187640110.89
2010,9,177267896.37
2010,10,217161824.02
2010,11,202853370.14
2010,12,288760532.72
2011,1,163703966.83
2011,2,186331327.87
2011,3,179356448.29
2011,4,226526510.97
2011,5,181648158.16
2011,6,189773385.19
2011,7,229911398.87
2011,8,188599332.25
2011,9,220847738.42
2011,10,183261283.15
2011,11,210162354.87
2011,12,288078102.48
2012,1,168894471.66
2012,2,192063579.54
2012,3,231509650.49
2012,4,188920905.95
2012,5,188766479.45
2012,6,240610329.29
2012,7,187509452.40
2012,8,236850765.68
2012,9,180645544.47
2012,10,184361680.42
